Student_ID,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,Test_8,Test_9,Test_10,Test_11,Test_12
22000,78,87,91,91,88,98,94,100,100,100,100,93
22001,79,71,81,72,73,68,59,69,59,60,61,67
22002,66,65,70,74,78,86,87,96,88,82,90,86
22003,60,58,54,61,54,57,64,62,72,63,72,76
22004,99,95,96,93,97,89,92,98,91,98,95,88
22005,41,36,35,28,35,36,27,26,19,22,27,31
22006,47,50,47,57,62,64,71,75,85,87,85,89
22007,84,74,70,68,58,59,56,56,64,70,67,59
22008,74,64,58,57,53,51,47,45,42,43,34,24
22009,87,81,73,74,71,63,53,45,39,43,46,38
22010,40,34,37,33,31,35,39,38,40,48,44,50
22011,91,84,78,74,76,80,80,73,75,71,79,70
22012,81,83,93,88,89,90,99,99,95,85,75,84
22013,52,50,42,38,33,30,28,22,12,20,19,20
22014,63,67,65,74,80,86,95,96,92,83,75,81
22015,76,82,88,94,85,76,70,60,50,58,49,59
22016,83,78,71,71,77,72,66,75,66,61,61,66
22017,55,45,43,38,43,35,44,37,45,37,45,54
22018,71,67,76,74,64,61,57,64,61,51,51,58
22019,62,61,53,49,54,59,68,74,65,55,60,61
22020,44,38,36,34,26,34,39,44,36,45,35,44
22021,50,56,53,46,41,38,47,39,44,36,43,46
22022,57,48,40,45,43,36,26,19,9,12,22,27
22023,59,56,52,44,50,40,45,46,54,57,52,47
22024,84,92,89,80,90,80,84,74,68,73,81,74
22025,74,80,86,87,90,100,95,87,85,79,85,88
22026,92,84,74,83,93,83,75,82,81,73,70,73
22027,63,70,74,65,64,55,61,58,48,46,46,51
22028,78,77,69,76,78,74,67,69,78,68,65,68
22029,55,58,59,67,71,62,53,61,67,76,75,70
22030,54,54,48,38,35,45,46,47,41,37,30,25
22031,84,93,97,89,86,95,100,100,100,99,100,100
22032,95,100,94,100,98,99,100,90,80,84,75,80
22033,64,61,63,73,63,68,64,58,50,51,56,64
22034,76,79,73,77,83,86,95,89,90,95,100,100
22035,78,71,61,55,54,48,41,32,41,40,48,38
22036,95,89,91,84,89,94,85,91,100,100,100,92
22037,99,89,79,87,87,81,82,74,64,54,51,50
22038,82,83,85,86,89,80,88,95,87,93,90,89
22039,65,56,64,62,58,51,61,68,70,70,63,73
22040,100,93,92,86,84,76,82,74,79,72,79,85
22041,78,72,73,79,81,73,71,77,83,92,97,99
22042,98,100,100,93,94,92,100,100,98,94,97,100
22043,58,62,67,77,71,63,64,73,83,76,86,91
22044,96,92,94,100,99,95,98,92,84,84,84,91
22045,86,87,85,84,85,91,86,82,85,87,84,83
22046,48,55,46,40,34,29,37,34,39,41,31,40
22047,56,52,54,47,40,35,43,44,40,39,47,43
22048,42,44,46,53,62,59,57,53,43,35,37,43
22049,64,54,49,59,54,55,57,59,63,73,78,88
22050,50,44,37,29,37,46,53,57,55,61,64,68
22051,70,60,70,62,67,67,68,67,72,69,64,65
22052,63,73,70,63,60,67,61,59,52,58,56,46
22053,92,100,100,100,100,100,92,87,94,100,94,98
22054,64,55,54,61,63,57,47,37,44,48,54,54
22055,60,66,68,58,49,47,39,29,39,44,39,45
